FID,配号来源,用海一级类,用海二级类,用海方式
1726,变更登记,渔业用海,开放式养殖用海,开放式养殖
1727,变更登记,渔业用海,开放式养殖用海,开放式养殖
1728,变更登记,渔业用海,开放式养殖用海,开放式养殖
1729,初始登记,其它用海, ,非透水构筑物
1730,初始登记,其它用海, ,非透水构筑物
1731,初始登记,其它用海, ,非透水构筑物
1732,初始登记,其它用海, ,非透水构筑物
1733,变更登记,渔业用海,开放式养殖用海,开放式养殖
1734,变更登记,渔业用海,开放式养殖用海,开放式养殖
1735,变更登记,渔业用海,开放式养殖用海,开放式养殖
1736,变更登记,交通运输用海,港口用海,建设填海造地
1737,初始登记,交通运输用海,港口用海,透水构筑物
1738,初始登记,交通运输用海,港口用海,港池、蓄水等
1739,初始登记,交通运输用海,港口用海,透水构筑物
1740,初始登记,交通运输用海,港口用海,港池、蓄水等
1741,变更登记,渔业用海,开放式养殖用海,开放式养殖
1742,变更登记,渔业用海,开放式养殖用海,开放式养殖
1743,变更登记,渔业用海,开放式养殖用海,开放式养殖
1744,初始登记,渔业用海,开放式养殖用海,开放式养殖
1745,变更登记,交通运输用海,路桥用海,跨海桥梁、海底隧道等
1746,变更登记,渔业用海,围海养殖用海,围海养殖
1747,变更登记,渔业用海,开放式养殖用海,开放式养殖
1748,变更登记,工业用海,电力工业用海,透水构筑物
1749,变更登记,渔业用海,开放式养殖用海,开放式养殖
1750,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
1751,初始登记,渔业用海,围海养殖用海,围海养殖
1752,初始登记,渔业用海,围海养殖用海,围海养殖
1753,初始登记,渔业用海,围海养殖用海,围海养殖
1754,初始登记,渔业用海,围海养殖用海,围海养殖
1755,初始登记,渔业用海,围海养殖用海,围海养殖
1756,初始登记,渔业用海,围海养殖用海,围海养殖
1757,初始登记,渔业用海,围海养殖用海,围海养殖
1758,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
1759,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
1760,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
1761,初始登记,造地工程用海,城镇建设填海造地用海,建设填海造地
1762,初始登记,渔业用海,围海养殖用海,围海养殖
1763,变更登记,渔业用海,开放式养殖用海,开放式养殖
1764,变更登记,渔业用海,开放式养殖用海,开放式养殖
1765,初始登记,渔业用海,开放式养殖用海,开放式养殖
1766,变更登记,渔业用海,围海养殖用海,围海养殖
1767,变更登记,交通运输用海,港口用海,透水构筑物
1768,变更登记,工业用海,其它工业用海,建设填海造地
1769,变更登记,工业用海,其它工业用海,建设填海造地
1770,变更登记,工业用海,其它工业用海,建设填海造地
1771,初始登记,渔业用海,开放式养殖用海,开放式养殖
1772,初始登记,渔业用海,开放式养殖用海,开放式养殖
1773,初始登记,渔业用海,开放式养殖用海,开放式养殖
1774,变更登记,渔业用海,开放式养殖用海,开放式养殖
1775,初始登记,渔业用海,开放式养殖用海,开放式养殖
1776,初始登记,工业用海,电力工业用海,建设填海造地
1777,初始登记,渔业用海,开放式养殖用海,开放式养殖
1778,初始登记,渔业用海,开放式养殖用海,开放式养殖
1779,初始登记,渔业用海,开放式养殖用海,开放式养殖
1780,初始登记,工业用海,电力工业用海,建设填海造地
1781,初始登记,工业用海,电力工业用海,建设填海造地
1782,初始登记,工业用海,电力工业用海,建设填海造地
1783,初始登记,工业用海,电力工业用海,建设填海造地
1784,初始登记,工业用海,电力工业用海,建设填海造地
1785,初始登记,工业用海,电力工业用海,建设填海造地
1786,初始登记,工业用海,电力工业用海,建设填海造地
1787,初始登记,工业用海,电力工业用海,建设填海造地
1788,初始登记,工业用海,电力工业用海,透水构筑物
1789,初始登记,工业用海,电力工业用海,海底电缆管道
1790,初始登记,工业用海,电力工业用海,透水构筑物
1791,初始登记,渔业用海,围海养殖用海,围海养殖
1792,初始登记,渔业用海,围海养殖用海,围海养殖
1793,变更登记,渔业用海,开放式养殖用海,开放式养殖
1794,初始登记,渔业用海,开放式养殖用海,开放式养殖
1795,初始登记,渔业用海,开放式养殖用海,开放式养殖
1796,变更登记,渔业用海,开放式养殖用海,开放式养殖
1797,变更登记,渔业用海,开放式养殖用海,开放式养殖
1798,初始登记,渔业用海,开放式养殖用海,开放式养殖
1799,初始登记,渔业用海,开放式养殖用海,开放式养殖
1800,变更登记,交通运输用海,港口用海,非透水构筑物
1801,变更登记,渔业用海,围海养殖用海,围海养殖
1802,变更登记,交通运输用海,港口用海,港池、蓄水等
1803,变更登记,交通运输用海,港口用海,透水构筑物
1804,变更登记,交通运输用海,港口用海,透水构筑物
1805,变更登记,交通运输用海,港口用海,透水构筑物
1806,变更登记,交通运输用海,港口用海,非透水构筑物
1807,变更登记,工业用海,其它工业用海,建设填海造地
1808,变更登记,工业用海,其它工业用海,建设填海造地
1809,初始登记,渔业用海,开放式养殖用海,开放式养殖
1810,初始登记,渔业用海,开放式养殖用海,开放式养殖
1811,变更登记,交通运输用海,港口用海,港池、蓄水等
1812,变更登记,交通运输用海,港口用海,透水构筑物
1813,变更登记,交通运输用海,港口用海,透水构筑物
1814,变更登记,交通运输用海,港口用海,透水构筑物
1815,变更登记,交通运输用海,港口用海,透水构筑物
1816,初始登记,渔业用海,围海养殖用海,围海养殖
1817,初始登记,渔业用海,围海养殖用海,围海养殖
1818,初始登记,渔业用海,围海养殖用海,围海养殖
1819,变更登记,交通运输用海,港口用海,港池、蓄水等
1820,变更登记,交通运输用海,港口用海,透水构筑物
1821,变更登记,交通运输用海,港口用海,建设填海造地
1822,初始登记,渔业用海,开放式养殖用海,开放式养殖
1823,变更登记,渔业用海,围海养殖用海,围海养殖
1824,初始登记,渔业用海,围海养殖用海,围海养殖
1825,初始登记,渔业用海,围海养殖用海,围海养殖
1826,初始登记,渔业用海,围海养殖用海,围海养殖
1827,变更登记,渔业用海,开放式养殖用海,开放式养殖
1828,变更登记,渔业用海,开放式养殖用海,开放式养殖
1829,变更登记,渔业用海,开放式养殖用海,开放式养殖
1830,变更登记,交通运输用海,港口用海,建设填海造地
1831,变更登记,交通运输用海,港口用海,建设填海造地
1832,初始登记,工业用海,电力工业用海,透水构筑物
1833,变更登记,渔业用海,开放式养殖用海,开放式养殖
1834,变更登记,渔业用海,开放式养殖用海,开放式养殖
1835,变更登记,渔业用海,开放式养殖用海,开放式养殖
1836,变更登记,渔业用海,围海养殖用海,围海养殖
1837,变更登记,渔业用海,围海养殖用海,围海养殖
1838,变更登记,渔业用海,开放式养殖用海,开放式养殖
1839,初始登记,工业用海,电力工业用海,透水构筑物
1840,初始登记,工业用海,电力工业用海,透水构筑物
1841,初始登记,工业用海,电力工业用海,透水构筑物
1842,初始登记,工业用海,电力工业用海,透水构筑物
1843,初始登记,工业用海,电力工业用海,透水构筑物
1844,初始登记,工业用海,电力工业用海,透水构筑物
1845,初始登记,工业用海,电力工业用海,透水构筑物
1846,初始登记,工业用海,电力工业用海,透水构筑物
1847,初始登记,工业用海,电力工业用海,透水构筑物
1848,初始登记,工业用海,电力工业用海,透水构筑物
1849,初始登记,工业用海,电力工业用海,透水构筑物
1850,初始登记,工业用海,电力工业用海,透水构筑物
1851,初始登记,工业用海,电力工业用海,透水构筑物
1852,初始登记,工业用海,电力工业用海,透水构筑物
1853,变更登记,渔业用海,开放式养殖用海,开放式养殖
1854,变更登记,渔业用海,开放式养殖用海,开放式养殖
1855,变更登记,渔业用海,开放式养殖用海,开放式养殖
1856,变更登记,渔业用海,开放式养殖用海,开放式养殖
1857,变更登记,渔业用海,开放式养殖用海,开放式养殖
1858,初始登记,工业用海,电力工业用海,透水构筑物
1859,初始登记,工业用海,电力工业用海,透水构筑物
1860,初始登记,工业用海,电力工业用海,透水构筑物
1861,初始登记,工业用海,电力工业用海,透水构筑物
1862,初始登记,工业用海,电力工业用海,透水构筑物
1863,初始登记,工业用海,电力工业用海,透水构筑物
1864,变更登记,渔业用海,开放式养殖用海,开放式养殖
1865,初始登记,交通运输用海,港口用海,建设填海造地
1866,变更登记,渔业用海,开放式养殖用海,开放式养殖
1867,变更登记,工业用海,电力工业用海,取、排水口
1868,变更登记,工业用海,电力工业用海,取、排水口
1869,变更登记,工业用海,电力工业用海,海底电缆管道
1870,变更登记,工业用海,电力工业用海,海底电缆管道
1871,变更登记,工业用海,电力工业用海,专用航道、锚地及其它开放式
1872,变更登记,工业用海,电力工业用海,透水构筑物
1873,变更登记,工业用海,电力工业用海,港池
1874,变更登记,工业用海,电力工业用海,港池、蓄水等
1875,初始登记,交通运输用海,港口用海,建设填海造地
1876,变更登记,渔业用海,开放式养殖用海,开放式养殖
1877,变更登记,渔业用海,开放式养殖用海,开放式养殖
1878,变更登记,渔业用海,开放式养殖用海,开放式养殖
1879,变更登记,渔业用海,围海养殖用海,围海养殖
