FID,OBJECTID,功能区类型,SHAPE_AREA,SHAPE_LEN
0,470,农渔业区,0.00264286562306,0.332873009753
1,468,农渔业区,0.00402141240048,0.279052105312
2,471,工业与城镇用海区,0.0011726839703,0.194441058856
3,469,工业与城镇用海区,0.000783770308154,0.147578354569
4,472,农渔业区,0.000231854535915,0.0983762203036
5,1110,港口航运区,0.000193346580645,0.0598399315701
6,913,保留区,0.00527727792155,0.774518240406
7,420,工业与城镇用海区,0.00768096516105,0.70044595592
8,421,农渔业区,0.0303931279388,1.47503531454
9,422,农渔业区,0.00357519709267,0.576791730407
10,407,港口航运区,0.0017354922548,0.286446974942
11,408,旅游休闲娱乐区,0.000552310476157,0.121455566328
12,409,农渔业区,0.0115036096621,0.792106509295
